# LEMMA LEVEL
	noun.act	noun.group	noun.time	noun.cognition	noun.communication	noun.person	noun.Tops	noun.artifact	noun.location	noun.state	noun.attribute	noun.phenomenon	noun.body	noun.motive	noun.possession	noun.quantity	noun.event	noun.object	noun.animal	noun.relation	noun.shape	noun.process	noun.substance	noun.food	noun.plant	noun.feeling
noun.act	1566	104	31	174	246	22	10	204	32	157	146	34	13	3	65	20	156	21	8	21	8	47	15	13	6	48
noun.group	104	525	15	56	68	30	7	128	37	35	41	7	18	0	14	12	14	19	5	12	4	2	8	6	6	4
noun.time	31	15	203	17	30	6	3	17	12	27	25	4	4	1	4	10	26	3	1	3	5	1	0	3	2	2
noun.cognition	174	56	17	805	182	44	15	96	41	96	152	16	18	9	23	18	38	19	6	20	8	7	15	7	5	47
noun.communication	246	68	30	182	1211	67	19	167	30	78	107	13	21	6	47	20	66	13	11	21	14	10	17	6	10	18
noun.person	22	30	6	44	67	1338	8	82	14	19	29	7	19	1	7	5	13	10	59	6	3	1	11	12	10	9
noun.Tops	10	7	3	15	19	8	58	9	5	16	9	2	8	4	3	1	3	3	2	4	3	1	1	1	0	3
noun.artifact	204	128	17	96	167	82	9	1744	78	55	82	20	69	1	33	46	34	60	55	10	43	7	56	26	40	11
noun.location	32	37	12	41	30	14	5	78	267	27	26	8	25	0	11	10	6	23	11	9	18	0	7	6	3	1
noun.state	157	35	27	96	78	19	16	55	27	714	154	28	4	4	17	14	66	14	2	16	11	11	8	4	3	69
noun.attribute	146	41	25	152	107	29	9	82	26	154	862	29	19	4	30	23	33	20	9	18	12	11	13	3	5	63
noun.phenomenon	34	7	4	16	13	7	2	20	8	28	29	141	1	1	2	5	28	11	0	4	3	6	8	2	3	6
noun.body	13	18	4	18	21	19	8	69	25	4	19	1	231	1	2	14	4	19	16	3	12	0	9	13	21	1
noun.motive	3	0	1	9	6	1	4	1	0	4	4	1	1	20	2	0	3	0	0	0	0	0	0	0	0	2
noun.possession	65	14	4	23	47	7	3	33	11	17	30	2	2	2	261	7	9	6	5	5	1	4	7	5	4	2
noun.quantity	20	12	10	18	20	5	1	46	10	14	23	5	14	0	7	215	11	11	5	4	8	2	3	6	5	1
noun.event	156	14	26	38	66	13	3	34	6	66	33	28	4	3	9	11	366	9	1	5	4	10	9	7	2	12
noun.object	21	19	3	19	13	10	3	60	23	14	20	11	19	0	6	11	9	237	9	4	10	0	12	4	9	2
noun.animal	8	5	1	6	11	59	2	55	11	2	9	0	16	0	5	5	1	9	251	0	4	0	13	15	13	2
noun.relation	21	12	3	20	21	6	4	10	9	16	18	4	3	0	5	4	5	4	0	116	2	0	3	0	1	1
noun.shape	8	4	5	8	14	3	3	43	18	11	12	3	12	0	1	8	4	10	4	2	89	1	2	0	1	1
noun.process	47	2	1	7	10	1	1	7	0	11	11	6	0	0	4	2	10	0	0	0	1	112	3	2	0	4
noun.substance	15	8	0	15	17	11	1	56	7	8	13	8	9	0	7	3	9	12	13	3	2	3	279	16	10	4
noun.food	13	6	3	7	6	12	1	26	6	4	3	2	13	0	5	6	7	4	15	0	0	2	16	208	39	1
noun.plant	6	6	2	5	10	10	0	40	3	3	5	3	21	0	4	5	2	9	13	1	1	0	10	39	200	2
noun.feeling	48	4	2	47	18	9	3	11	1	69	63	6	1	2	2	1	12	2	2	1	1	4	4	1	2	235
# TOKEN LEVEL
	noun.act	noun.group	noun.time	noun.cognition	noun.communication	noun.person	noun.Tops	noun.artifact	noun.location	noun.state	noun.attribute	noun.phenomenon	noun.body	noun.motive	noun.possession	noun.quantity	noun.event	noun.object	noun.animal	noun.relation	noun.shape	noun.process	noun.substance	noun.food	noun.plant	noun.feeling
noun.act	45486	10959	1375	11136	12543	713	2664	10688	3308	9266	9237	2030	406	38	4322	938	5258	690	73	1672	180	2151	245	100	49	1116
noun.group	10959	30015	2901	6161	5381	2304	1973	8014	3595	3595	3868	693	2303	0	1266	843	552	1125	559	564	279	328	375	48	58	81
noun.time	1375	2901	14581	3553	3397	106	1476	1397	1193	2829	3363	857	706	659	884	1126	1394	38	124	63	652	2	0	89	151	141
noun.cognition	11136	6161	3553	35952	15033	2495	3204	8160	4937	9669	10517	1647	2349	1106	3159	2312	3488	1932	599	2568	1009	236	1173	143	251	1425
noun.communication	12543	5381	3397	15033	40686	3139	5914	9712	3444	7965	7676	1654	2126	1033	4303	2599	2950	884	642	2716	1311	804	898	48	367	502
noun.person	713	2304	106	2495	3139	22933	529	2166	855	1486	1535	874	862	9	342	857	1141	682	1589	571	97	14	428	141	139	308
noun.Tops	2664	1973	1476	3204	5914	529	9153	2229	1296	3828	2665	788	2342	1022	1515	116	702	488	207	614	408	228	171	29	0	112
noun.artifact	10688	8014	1397	8160	9712	2166	2229	31035	5076	4738	4239	1412	2078	178	2116	1697	1695	1688	1184	469	1594	98	1556	267	625	461
noun.location	3308	3595	1193	4937	3444	855	1296	5076	13602	3322	2059	602	1256	0	1166	1176	907	1650	459	497	1131	0	477	150	109	57
noun.state	9266	3595	2829	9669	7965	1486	3828	4738	3322	24911	9261	2470	829	819	2801	1626	3856	868	2	1748	1234	677	218	105	25	1348
noun.attribute	9237	3868	3363	10517	7676	1535	2665	4239	2059	9261	25920	2406	1157	732	3817	2645	2590	766	78	1797	579	1045	247	37	53	1383
noun.phenomenon	2030	693	857	1647	1654	874	788	1412	602	2470	2406	5869	146	14	308	258	1568	867	0	109	45	95	457	271	41	95
noun.body	406	2303	706	2349	2126	862	2342	2078	1256	829	1157	146	6398	659	660	358	28	551	402	283	198	0	599	278	370	2
noun.motive	38	0	659	1106	1033	9	1022	178	0	819	732	14	659	1329	673	0	126	0	0	0	0	0	0	0	0	49
noun.possession	4322	1266	884	3159	4303	342	1515	2116	1166	2801	3817	308	660	673	12188	716	1199	857	482	186	29	395	290	38	336	206
noun.quantity	938	843	1126	2312	2599	857	116	1697	1176	1626	2645	258	358	0	716	7920	395	855	827	118	762	265	32	49	153	63
noun.event	5258	552	1394	3488	2950	1141	702	1695	907	3856	2590	1568	28	126	1199	395	9797	230	3	388	95	707	450	71	68	205
noun.object	690	1125	38	1932	884	682	488	1688	1650	868	766	867	551	0	857	855	230	5300	869	123	152	0	593	294	71	25
noun.animal	73	559	124	599	642	1589	207	1184	459	2	78	0	402	0	482	827	3	869	3457	0	66	0	318	122	386	5
noun.relation	1672	564	63	2568	2716	571	614	469	497	1748	1797	109	283	0	186	118	388	123	0	5561	292	0	6	0	2	62
noun.shape	180	279	652	1009	1311	97	408	1594	1131	1234	579	45	198	0	29	762	95	152	66	292	2408	1	24	0	5	6
noun.process	2151	328	2	236	804	14	228	98	0	677	1045	95	0	0	395	265	707	0	0	0	1	3314	79	25	0	81
noun.substance	245	375	0	1173	898	428	171	1556	477	218	247	457	599	0	290	32	450	593	318	6	24	79	3809	374	29	94
noun.food	100	48	89	143	48	141	29	267	150	105	37	271	278	0	38	49	71	294	122	0	0	25	374	1651	170	2
noun.plant	49	58	151	251	367	139	0	625	109	25	53	41	370	0	336	153	68	71	386	2	5	0	29	170	1559	23
noun.feeling	1116	81	141	1425	502	308	112	461	57	1348	1383	95	2	49	206	63	205	25	5	62	6	81	94	2	23	4024
